Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.934 ,  1.999 ,  1.355 ,  1.904 ,  1.427 ,  1.344 ,  2.168 ,  1.854 ,  2.027 ,  2.487 ,  2.219 ,  3.487 ,  3.799 ,  3.418 ,  2.781 ,  2.640 ,  2.849 ,  3.386 ,  2.822 ,  3.305 ,  2.856 ,  2.189 ,  1.990 
Fevereiro,  2.175 ,  1.635 ,  1.164 ,  1.498 ,  1.412 ,  1.634 ,  1.764 ,  1.871 ,  1.729 ,  1.543 ,  1.890 ,  2.759 ,  3.341 ,  2.858 ,  2.527 ,  2.528 ,  2.418 ,  2.136 ,  1.934 ,  2.637 ,  2.584 ,  2.412 ,  1.332 
Março,  2.253 ,  2.052 ,  1.189 ,  1.275 ,  1.503 ,  1.867 ,  2.277 ,  1.947 ,  1.745 ,  1.966 ,  2.601 ,  3.100 ,  3.562 ,  2.827 ,  2.512 ,  2.544 ,  2.483 ,  2.105 ,  2.411 ,  2.698 ,  2.531 ,  2.958 ,  1.325 
Abril,  1.939 ,  1.866 ,  1.421 ,  1.298 ,  1.505 ,  1.560 ,  1.834 ,  2.000 ,  1.776 ,  2.155 ,  2.510 ,  2.729 ,  3.321 ,  2.973 ,  2.504 ,  2.325 ,  2.091 ,  1.719 ,  2.603 ,  2.632 ,  1.382 ,  2.210 ,  1.045 
Maio,  2.350 ,  1.703 ,  1.892 ,  1.414 ,  1.609 ,  1.750 ,  2.468 ,  1.467 ,  1.668 ,  1.569 ,  2.330 ,  2.771 ,  3.019 ,  2.943 ,  2.347 ,  2.317 ,  1.994 ,  2.016 ,  2.572 ,  2.339 ,  1.082 ,  1.846 ,  1.146 
Junho,  2.208 ,  1.640 ,  1.177 ,  1.233 ,  1.454 ,  1.982 ,  1.957 ,  1.644 ,  1.620 ,  1.811 ,  2.528 ,  2.768 ,  3.116 ,  2.851 ,  2.153 ,  1.934 ,  2.087 ,  2.301 ,  2.239 ,  1.703 ,  1.030 ,  1.446 ,  929 
Julho,  2.772 ,  1.929 ,  1.100 ,  1.247 ,  1.470 ,  2.317 ,  1.934 ,  1.690 ,  2.109 ,  1.764 ,  2.846 ,  3.466 ,  3.512 ,  3.013 ,  2.704 ,  2.513 ,  2.317 ,  2.296 ,  2.605 ,  2.092 ,  1.077 ,  1.327 ,
Agosto,  2.086 ,  1.818 ,  1.402 ,  1.115 ,  1.730 ,  2.046 ,  2.059 ,  1.762 ,  1.707 ,  2.392 ,  2.899 ,  3.232 ,  3.743 ,  2.587 ,  2.571 ,  2.035 ,  2.354 ,  2.366 ,  2.240 ,  1.886 ,  918 ,  1.191 ,
Setembro,  2.043 ,  1.326 ,  1.417 ,  1.294 ,  1.725 ,  2.059 ,  1.875 ,  1.269 ,  1.608 ,  2.004 ,  2.775 ,  3.104 ,  4.418 ,  2.460 ,  2.332 ,  2.279 ,  2.367 ,  2.076 ,  2.402 ,  2.295 ,  1.454 ,  1.996 ,
Outubro,  2.263 ,  1.693 ,  1.582 ,  1.413 ,  1.580 ,  2.047 ,  2.045 ,  1.669 ,  1.817 ,  2.192 ,  2.865 ,  3.347 ,  3.935 ,  2.443 ,  2.297 ,  2.514 ,  2.059 ,  2.110 ,  2.653 ,  2.487 ,  2.359 ,  2.697 ,
Novembro,  1.791 ,  1.982 ,  1.782 ,  1.271 ,  1.576 ,  1.968 ,  1.876 ,  1.653 ,  1.839 ,  1.971 ,  2.980 ,  4.189 ,  3.331 ,  2.405 ,  2.358 ,  2.440 ,  1.899 ,  2.433 ,  2.721 ,  1.909 ,  1.559 ,  3.082 ,
Dezembro,  1.941 ,  1.267 ,  1.662 ,  1.890 ,  1.660 ,  2.190 ,  2.089 ,  2.304 ,  1.526 ,  2.255 ,  3.300 ,  4.348 ,  3.726 ,  2.791 ,  2.676 ,  2.728 ,  2.239 ,  2.382 ,  2.860 ,  2.864 ,  2.232 ,  3.304 ,
